"Name","BuildingLevel","TID","InfoTID","BuildingClass","SecondaryTargetingClass","ShopBuildingClass","SWF","ExportName","PartsLayout","ExportNameNpc","ExportNameConstruction","ExportNameLocked","BuildTimeD","BuildTimeH","BuildTimeM","BuildTimeS","BuildResource","BuildCost","TownHallLevel","CapitalHallLevel","Width","Height","Icon","BuildAnimSWF","ExportNameBuildAnim","ExportNameUpgradeAnim","MaxStoredGold","MaxStoredElixir","MaxStoredDarkElixir","MaxStoredWarGold","MaxStoredWarElixir","MaxStoredWarDarkElixir","MaxStoredGold2","MaxStoredElixir2","PercentageStoredGold","PercentageStoredElixir","PercentageStoredDarkElixir","LootOnDestruction","Bunker","ArmySlotType","HousingSpace","HousingSpaceAlt","HousingSpaceSiege","ProducesResource","ResourcePer100Hours","ResourceMax","ResourceIconLimit","UnitProduction","UpgradesUnits","ProducesUnitsOfType","LevelRequirementTID","BoostCost","FreeBoost","Hitpoints","RegenTime","AttackRange","AltAttackMode","AltAttackRange","PrepareSpeed","AttackSpeed","AltAttackSpeed","CoolDownOverride","DPS","AltDPS","Damage","PreferredTarget","PreferredTargetDamageMod","RandomHitPosition","DestroyEffect","DestroyDamageEffect","AttackEffect","AttackEffect2","ChainAttackDistance","ChainAttackMaxTargets","ChainAttackDelay","ChainAttackDamageReductionPercent","AttackEffectAlt","HitEffect","Projectile","AltProjectile","ExportNameDamagedSWF","ExportNameDamaged","BuildingW","BuildingH","BaseGfx","ExportNameBase","AirTargets","GroundTargets","MultiTargets","NumMultiTargets","DamageMulti","AltAirTargets","AltGroundTargets","AltMultiTargets","AmmoCount","AmmoResource","AmmoCost","MinAttackRange","DamageRadius","PushBack","WallCornerPieces","LoadAmmoEffect","NoAmmoEffect","ToggleAttackModeEffect","PickUpEffect","PlacingEffect","AnimateTurret","DefenderCharacter","DefenderCount","DefenderZ","AltDefenderZ","DestructionXP","Locked","StartingHomeCount","Hidden","AOESpell","AOESpellAlternate","TriggerRadius","ExportNameTriggered","AppearEffect","ForgesSpells","ForgesMiniSpells","IsHeroBarrack","HeroType","IncreasingDamage","DPSLv2","DPSLv3","DPSMulti","Lv2SwitchTime","Lv3SwitchTime","AttackEffectLv2","AttackEffectLv3","TransitionEffectLv2","TransitionEffectLv3","AltNumMultiTargets","PreventsHealing","StrengthWeight","AlternatePickNewTargetDelay","AltBuildResource","SpeedMod","StatusEffectTime","ShockwavePushStrength","ShockwaveArcLength","ShockwaveExpandRadius","TargetingConeAngle","AimRotateStep","PenetratingProjectile","PenetratingRadius","PenetratingExtraRange","TurnSpeed","NeedsAim","TargetGroups","TargetGroupsRadius","HitSpell","HitSpellLevel","ExportNameBeamStart","ExportNameBeamEnd","Damage2","Damage2Radius","Damage2Delay","Damage2Min","Damage2FalloffStart","Damage2FalloffEnd","HitEffect2","WakeUpSpeed","WakeUpSpace","PreAttackEffect","ShareHeroCombatData","BurstCount","BurstDelay","AltBurstCount","AltBurstDelay","DummyProjectileCount","DieDamage","DieDamageRadius","DieDamageEffect","DieDamageDelay","IsRed","VillageType","RedMul","GreenMul","BlueMul","RedAdd","GreenAdd","BlueAdd","DefenceTroopCount","DefenceTroopCharacter","DefenceTroopCharacter2","DefenceTroopLevel","AmountCanBeUpgraded","SelfAsAoeCenter","NewTargetAttackDelay","GearUpBuilding","GearUpLevelRequirement","GearUpResource","GearUpCost","GearUpTime","GearUpTID","StartUpgradeBoosterCost","ActivateCombatOnDamageTaken","ActivatedCombatAddBuildingClass","CombatActivationDelay","CombatActivationEffect","Weapon","HintPriority","UpgradeTasks","UpgradeTasksRequired","AnimationActionFrame","SecondaryTroop","SecondaryTroopCnt","SecondaryTroopLvl","SpawnOnAttack","SummonTroopCount","SplashAirAndGround","RandomizeTarget","ReflectsDamage","Loot","Reward","UnoccupiedPartsLayout"
,2,,,,,,,"spellfactory_rage_lvl02",,,,,,,,,,30000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,
,3,,,,,,,"spellfactory_rage_lvl03",,,,,,,,,,60000,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,
,4,,,,,,,"spellfactory_rage_lvl04",,,,,,,,,,120000,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,
,5,,,,,,,"spellfactory_rage_lvl05",,,,,,,,,,250000,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,
"Frost Spell Factory",1,"TID_CAPBUILD_SPELLLAB_FREEZE","TID_CAPBUILD_SPELLLAB_FREEZE_INFO","Army",,,"sc/buildings_cc.sc","spellfactory_frost_lvl01",,,"dummy_particle","ruin_spell_factory",,,,,"CapitalResource",15000,1,,3,3,,"sc/buildings_cc.sc","upgrade_fence_3x3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,"Building Destroyed",,,,,,,,,,,,"sc/buildings_cc.sc","rockWood_destructed_tiles3",2,2,,"goldmine_base",,,,,,,,,,,,,,,,,,,"Spell Factory Pickup","Spell Factory Place",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,25,0,
,2,,,,,,,"spellfactory_frost_lvl02",,,,,,,,,,30000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,
,3,,,,,,,"spellfactory_frost_lvl03",,,,,,,,,,60000,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,
,4,,,,,,,"spellfactory_frost_lvl04",,,,,,,,,,120000,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,
,5,,,,,,,"spellfactory_frost_lvl05",,,,,,,,,,250000,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,
"Cannon",1,"TID_CAPBUILD_CANNON","TID_CAPBUILD_CANNON_INFO","Defense",,,"sc/buildings_cc.sc","capital_cannon_lvl1",,,"dummy_particle","ruin_cannon",,,,,"CapitalResource",2500,1,1,2,2,,"sc/buildings_cc.sc","upgrade_fence_2x2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250,,800,,,,1500,,,130,,,,,,"Building Destroyed",,"Cannon Attack",,,,,,,"Generic Hit","Cannonball",,"sc/buildings_cc.sc","rockWood_destructed_tiles2",1,1,,"cc_cannon_small_base","FALSE","TRUE",,,,,,,,,,,,,,,,,"Basic Turret Pickup","Basic Turret Placing","TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,100,0,
,2,,,,,,,"capital_cannon_lvl2",,,,,,,,,,5000,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450,,,,,,,,,150,,,,,,,,"Cannon Attack",,,,,,,,"Cannonball2",,"sc/buildings_cc.sc","rockWood_destructed_tiles2",,,,"cc_cannon_small_base",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,,
,3,,,,,,,"capital_cannon_lvl3",,,,,,,,,,10000,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650,,,,,,,,,170,,,,,,,,"Cannon Attack",,,,,,,,"Cannonball2",,"sc/buildings_cc.sc","rock_destructed_tiles2",,,,"cc_cannon_small_base",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,
,4,,,,,,,"capital_cannon_lvl4",,,,,,,,,,18000,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850,,,,,,,,,190,,,,,,,,"Cannon Attack",,,,,,,,"Cannonball4",,"sc/buildings_cc.sc","rock_destructed_tiles2",,,,"cc_cannon_small_base",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,,
,5,,,,,,,"capital_cannon_lvl5",,,,,,,,,,30000,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2050,,,,,,,,,210,,,,,,,,"Cannon Attack Large",,,,,,,,"Cannonball4",,"sc/buildings_cc.sc","rock_destructed_tiles2",,,,"cc_cannon_big_base",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,,
"Spear Thrower",1,"TID_CAPBUILD_SPEAR_THROWER","TID_CAPBUILD_SPEAR_THROWER_INFO","Defense",,,"sc/buildings_cc.sc","ballista_tower_lvl1",,,"dummy_particle","ruin_spear_thrower",,,,,"CapitalResource",3000,1,1,2,2,,"sc/buildings_cc.sc","upgrade_fence_2x2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,,900,,,,900,,,90,,,,,,"Building Destroyed",,"Capital Spear Thrower Attack",,,,,,,"Generic Hit","Spear_01",,"sc/buildings_cc.sc","wood_destructed_tiles2",1,1,,"cc_rapid_big_base","TRUE","TRUE",,,,,,,,,,,,,,,,,"Tower Turret Pickup","Tower Turret Placing","TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,100,0,
,2,,,,,,,"ballista_tower_lvl2",,,,,,,,,,6000,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350,,,,,,,,,105,,,,,,,,,,,,,,,"Generic Hit","Spear_01",,"sc/buildings_cc.sc","wood_destructed_tiles2",,,,"cc_rapid_big_base",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,,
,3,,,,,,,"ballista_tower_lvl3",,,,,,,,,,12000,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,,,,,,,,,120,,,,,,,,,,,,,,,"Generic Hit","Spear_01",,"sc/buildings_cc.sc","rockWood_destructed_tiles2",,,,"cc_rapid_big_base",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,
,4,,,,,,,"ballista_tower_lvl4",,,,,,,,,,21000,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650,,,,,,,,,135,,,,,,,,,,,,,,,"Generic Hit","Spear_01",,"sc/buildings_cc.sc","rockWood_destructed_tiles2",,,,"cc_rapid_big_base",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,,
,5,,,,,,,"ballista_tower_lvl5",,,,,,,,,,35000,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,,,,,,,,,150,,,,,,,,,,,,,,,"Generic Hit","Spear_01",,"sc/buildings_cc.sc","rockWood_destructed_tiles2",,,,"cc_rapid_big_base",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,,
"Air Defense",1,"TID_CAPBUILD_AIR_DEFENSE","TID_CAPBUILD_AIR_DEFENSE_INFO","Defense",,,"sc/buildings_cc.sc","capital_firecrackers_01",,,"dummy_particle","ruin_air_defense",,,,,"CapitalResource",3500,1,1,2,2,,"sc/buildings_cc.sc","upgrade_fence_2x2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,,1000,,,,1500,,,260,,,,,"TRUE","Building Destroyed",,"Air Defence Mini Attack",,,,,,,"Capital Air Defence hit1","Fireworks1",,"sc/buildings_cc.sc","wood_destructed_tiles2",1,1,,"cc_air_defense_small_base","TRUE","FALSE",,,,,,,,,,,,,,,,,"Air Defence Pickup","Air Defence Placing","TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,100,0,
,2,,,,,,,"capital_firecrackers_02",,,,,,,,,,7000,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,,,,,,,,,290,,,,,,,,"Air Defence Mini Attack",,,,,,,"Capital Air Defence hit1","Fireworks2",,"sc/buildings_cc.sc","wood_destructed_tiles2",,,,"cc_air_defense_small_base",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,,
,3,,,,,,,"capital_firecrackers_03",,,,,,,,,,14000,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,,,,,,,,,320,,,,,,,,"Air Defence Mini Attack",,,,,,,"Capital Air Defence hit2","Fireworks3",,"sc/buildings_cc.sc","rockWood_destructed_tiles2",,,,"cc_air_defense_big_base",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,
,4,,,,,,,"capital_firecrackers_04",,,,,,,,,,24000,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700,,,,,,,,,350,,,,,,,,"Air Defence Mini Attack",,,,,,,"Capital Air Defence hit2","Fireworks4",,"sc/buildings_cc.sc","rockWood_destructed_tiles2",,,,"cc_air_defense_big_base",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,,
,5,,,,,,,"capital_firecrackers_05",,,,,,,,,,40000,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,,,,,,,,,380,,,,,,,,"Air Defence Mini Attack",,,,,,,"Capital Air Defence hit3","Fireworks5",,"sc/buildings_cc.sc","rockWood_destructed_tiles2",,,,"cc_air_defense_big_base",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,,
"Multi Cannon",1,"TID_CAPBUILD_MULTICANNON","TID_CAPBUILD_MULTICANNON_INFO","Defense",,,"sc/buildings_cc.sc","capital_multicannon_lvl1",,,"dummy_particle","ruin_multi_cannon",,,,,"CapitalResource",4000,1,2,2,2,,"sc/buildings_cc.sc","upgrade_fence_2x2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,,600,,,,1600,,800,,,80,,,,"Building Destroyed",,"Multi Cannon Attack Small",,,,,,,"Generic Hit","MultiCannonball1",,"sc/buildings_cc.sc","rockWood_destructed_tiles2",1,1,,"cc_cannon_big_base","FALSE","TRUE",,,,,,,,,,,,,,,,,"Double Cannon Pickup","Double Cannon Placing","TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,140,0,
,2,,,,,,,"capital_multicannon_lvl2",,,,,,,,,,8000,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2050,,,,,,,,,,,90,,,,,,"Multi Cannon Attack Small",,,,,,,,"MultiCannonball1",,"sc/buildings_cc.sc","rockWood_destructed_tiles2",,,,"cc_cannon_big_base",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,
,3,,,,,,,"capital_multicannon_lvl3",,,,,,,,,,16000,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2300,,,,,,,,,,,100,,,,,,"Multi Cannon Attack Small",,,,,,,,"MultiCannonball1",,"sc/buildings_cc.sc","rockWood_destructed_tiles2",,,,"cc_cannon_big_base",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,,
,4,,,,,,,"capital_multicannon_lvl4",,,,,,,,,,27000,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2550,,,,,,,,,,,110,,,,,,"Multi Cannon Attack Small",,,,,,,,"MultiCannonball1",,"sc/buildings_cc.sc","rock_destructed_tiles2",,,,"cc_cannon_big_base",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,,
,5,,,,,,,"capital_multicannon_lvl5",,,,,,,,,,45000,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2800,,,,,,,,,,,120,,,,,,"Multi Cannon Attack Small",,,,,,,,"MultiCannonball1",,"sc/buildings_cc.sc","rock_destructed_tiles2",,,,"cc_cannon_big_base",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,,
"Bomb Tower",1,"TID_CAPBUILD_BOMBTOWER","TID_CAPBUILD_BOMBTOWER_INFO","Defense",,,"sc/buildings_cc.sc","capital_bombtower_lvl1",,,"dummy_particle","ruin_bomb_tower",,,,,"CapitalResource",4500,1,2,2,2,,"sc/buildings_cc.sc","upgrade_fence_2x2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,,500,,,,1100,,,65,,,,,,"Building Destroyed","Bomb Tower Destroyed1","Bomb Tower Throw Start",,,,,,,"Bomb Tower Hit","Bomb Tower Ammo1",,"sc/buildings_cc.sc","wood_destructed_tiles2",1,1,,"cc_bombtower_big_base","FALSE","TRUE",,,,,,,,,,,120,,,,,,"Mortar Pickup","Mortar Placing",,"Capital Bomber",1,115,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,275,"Bomb Tower Explode",1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,150,0,
,2,,,,,,,"capital_bombtower_lvl2",,,,,,,,,,9000,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2250,,,,,,,,,75,,,,,,,"Bomb Tower Destroyed1",,,,,,,,"Bomb Tower Hit","Bomb Tower Ammo1",,"sc/buildings_cc.sc","rockWood_destructed_tiles2",,,,"cc_bombtower_big_base",,,,,,,,,,,,,,,,,,,,,,"Capital Bomber",,,,,,,,,,,,,,,,,,,,,,,,,,,,,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,,
,3,,,,,,,"capital_bombtower_lvl3",,,,,,,,,,18000,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500,,,,,,,,,85,,,,,,,"Bomb Tower Destroyed2",,,,,,,,"Bomb Tower Hit2","Bomb Tower Ammo1",,"sc/buildings_cc.sc","rockWood_destructed_tiles2",,,,"cc_bombtower_big_base",,,,,,,,,,,,,,,,,,,,,,"Capital Bomber",,,,,,,,,,,,,,,,,,,,,,,,,,,,,440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,,
,4,,,,,,,"capital_bombtower_lvl4",,,,,,,,,,30000,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2750,,,,,,,,,95,,,,,,,"Bomb Tower Destroyed3",,,,,,,,"Bomb Tower Hit2","Bomb Tower Ammo2",,"sc/buildings_cc.sc","rockWood_destructed_tiles2",,,,"cc_bombtower_big_base",,,,,,,,,,,,,,,,,,,,,,"Capital Bomber",,,,,,,,,,,,,,,,,,,,,,,,,,,,,460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,,
,5,,,,,,,"capital_bombtower_lvl5",,,,,,,,,,50000,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,,,,,,,,,105,,,,,,,"Bomb Tower Destroyed3",,,,,,,,"Bomb Tower Hit3","Bomb Tower Ammo2",,"sc/buildings_cc.sc","rockWood_destructed_tiles2",,,,"cc_bombtower_big_base",,,,,,,,,,,,,,,,,,,,,,"Capital Bomber",,,,,,,,,,,,,,,,,,,,,,,,,,,,,460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190,,
"Multi Mortar",1,"TID_CAPBUILD_MULTIMORTAR","TID_CAPBUILD_MULTIMORTAR_INFO","Defense",,,"sc/buildings_cc.sc","capital_multimortar_lvl1",,,"dummy_particle","ruin_multi_mortar",,,,,"CapitalResource",5000,1,2,2,2,,"sc/buildings_cc.sc","upgrade_fence_2x2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700,,1000,,,,5000,,3000,,,80,,,"TRUE","Building Destroyed",,"Multi Mortar Attack",,,,,,,"Multi Mortar Hit","CapitalMortar Ammo1",,"sc/buildings_cc.sc","rockWood_destructed_tiles2",1,1,,"cc_mortar_small_base","FALSE","TRUE",,,,,,,,,,300,170,,,,,,"Multi Mortar Pickup","Multi Mortar Placing","TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,150,0,
,2,,,,,,,"capital_multimortar_lvl2",,,,,,,,,,10000,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900,,,,,,,,,,,90,,,,,,"Multi Mortar Attack",,,,,,,"Multi Mortar Hit","CapitalMortar Ammo2",,,,,,,"cc_mortar_small_base",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,,
,3,,,,,,,"capital_multimortar_lvl3",,,,,,,,,,20000,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100,,,,,,,,,,,100,,,,,,"Multi Mortar Attack",,,,,,,"Multi Mortar Hit","CapitalMortar Ammo3",,,,,,,"cc_mortar_big_base",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,,
